reliability_class,reliability_class_label,reliability_score
2,MEDIUM,87.04019669591948
1,LOW,6.996522761146549
1,LOW,29.21281531276337
0,HIGH,96.77261260641214
1,LOW,18.389847872324804
0,HIGH,97.26613880894148
0,HIGH,99.87893771920248
2,MEDIUM,90.03331105306368
0,HIGH,97.99308689100556
1,LOW,74.67339707954463
2,MEDIUM,94.81228266686335
1,LOW,44.45262847304386
2,MEDIUM,88.27372960802275
1,LOW,73.8005707768823
2,MEDIUM,93.75754679491632
1,LOW,83.87992604442506
0,HIGH,95.01409117904724
1,LOW,82.79412949152564
2,MEDIUM,89.05334732841942
2,MEDIUM,89.27270515555395
0,HIGH,98.46963351069802
1,LOW,75.0925390152591
1,LOW,66.25092070663369
1,LOW,9.335048929175564
1,LOW,78.45913904538493
